# Generated by build_examples.py. Columns: polish <TAB> english <TAB> sentence.
być	to be	Chcę **być** lekarzem.
opowiadanie	story	To krótkie **opowiadanie** jest smutne.
wiersz	row	Ten **wiersz** jest łatwy.
autor	author	Autorem książki jest znany **autor**.
rozdział	chapter	Ten **rozdział** jest krótki.
tytuł	title	Jaki jest **tytuł** tej książki?
okładka	cover	Podoba mi się **okładka** tej książki.
księgarnia	bookstore	Idę do **księgarni** po książkę.
czytelnik	reader	Każdy **czytelnik** lubi dobrą książkę.
szachy	chess	Gramy w **szachy** wieczorem.
karty	cards	Gram w **karty** z bratem.
kostka	ankle	Skręciłem **kostkę** na boisku.
puzzle	jigsaw	Układam **puzzle** z mamą.
gracz	player	Każdy **gracz** czeka na start.
wygrywać	to win	Chcę **wygrywać** częściej.
przegrywać	to lose	Nie lubię **przegrywać**.
zasady	rules	Te **zasady** są proste.
piłka	ball	Moja **piłka** jest czerwona.
piłka nożna	football	Lubię **piłkę nożną**.
koszykówka	basketball	Grałem w **koszykówkę** w szkole.
siatkówka	volleyball	Lubię **siatkówkę** na plaży.
tenis	tennis	Gram w **tenis** z tatą.
bieganie	running	Codziennie rano robię **bieganie**.
pływanie	swimming	Lubię **pływanie** latem.
narty	skis	Moje **narty** są nowe.
rower górski	mountain bike	Mój **rower górski** jest szybki.
siłownia	gym	Idę dziś na **siłownię**.
trening	training	Mamy dziś **trening**.
trener	coach	Nasz **trener** jest miły.
mięsień	muscle	Po ćwiczeniach boli mnie **mięsień**.
rozgrzewka	warm-up	Na początku robimy **rozgrzewkę**.
zawody	competition	Dziś są **zawody** na stadionie.
medal	medal	Dostałem złoty **medal**.
puchar	cup	Nasz zespół ma duży **puchar**.
stadion	stadium	Gramy na dużym **stadionie**.
kibic	fan	Każdy **kibic** głośno śpiewa.
hobby	hobby	Moje **hobby** to czytanie.
ogród	garden	W **ogrodzie** kwitną kwiaty.
ogrodnictwo	gardening	Lubię **ogrodnictwo** wiosną.
malować	to paint	Lubię **malować** obrazy.
rysować	to draw	Dziecko lubi **rysować** dom.
szyć	to sew	Mama umie **szyć** sukienkę.
zbierać	to collect	Dzieci **zbierają** kasztany.
wędkarstwo	fishing	Mój dziadek lubi **wędkarstwo**.
podróżować	to travel	Chcę **podróżować** po Polsce.
fotografia	photography	Lubię **fotografię** i zdjęcia.
koń	horse	Mój **koń** biegnie szybko.
krowa	cow	Ta **krowa** daje mleko.
świnia	pig	W gospodarstwie jest **świnia**.
owca	sheep	Ta **owca** ma białą wełnę.
koza	goat	Nasza **koza** je trawę.
kura	hen	Ta **kura** znosi jajka.
kaczka	duck	Mała **kaczka** pływa w stawie.
gęś	goose	Biała **gęś** głośno syczy.
królik	rabbit	Mój **królik** je marchewkę.
mysz	mouse (animal)	Na podłodze jest **mysz**.
szczur	rat	W piwnicy biegał **szczur**.
niedźwiedź	bear	W zoo widziałem **niedźwiedzia**.
wilk	wolf	Na obrazku jest **wilk**.
lis	fox	W lesie spotkałem **lisa**.
zając	hare	Na polu skoczył **zając**.
jeleń	deer	W parku stał **jeleń**.
dzik	boar	W lesie biegł **dzik**.
sarna	roe	Na łące stała **sarna**.
wiewiórka	squirrel	Na drzewie siedzi **wiewiórka**.
jeż	hedgehog	W ogrodzie znalazłem **jeża**.
lew	lion	W zoo ryczy **lew**.
tygrys	tiger	W klatce śpi **tygrys**.
słoń	elephant	W zoo widziałem **słonia**.
małpa	monkey	W zoo skacze **małpa**.
żyrafa	giraffe	Na obrazku jest **żyrafa**.
zebra	zebra	W zoo stoi **zebra**.
wąż	snake	W trawie leży **wąż**.
żaba	frog	W stawie skacze **żaba**.
żółw	turtle	W akwarium pływa **żółw**.
jaszczurka	lizard	Na kamieniu siedzi **jaszczurka**.
wróbel	sparrow	Na dachu siedzi **wróbel**.
gołąb	pigeon	Na placu chodzi **gołąb**.
sowa	owl	W nocy lata **sowa**.
orzeł	eagle	Nad górami leci **orzeł**.
sokół	falcon	Na niebie leci **sokół**.
bocian	stork	Na polu stoi **bocian**.
jaskółka	swallow	Na niebie leci **jaskółka**.
kruk	raven	W parku siedzi **kruk**.
wrona	crow	Na dachu siedzi **wrona**.
sikorka	titmouse	Do karmnika przyleciała **sikorka**.
dzięcioł	woodpecker	Na drzewie stuka **dzięcioł**.
łabędź	swan	Na jeziorze pływa **łabędź**.
mewa	seagull	Na plaży krzyczy **mewa**.
kurczak	chicken	Lubię jeść **kurczak**.
pióro	feather, pen	Ptak zgubił **pióro**.
gniazdo	nest	Ptak buduje **gniazdo**.
skrzydło	wing	Ptak ma złamane **skrzydło**.
dziób	beak	Ptak ma mały **dziób**.
łosoś	salmon	Na obiad jem **łosoś**.
śledź	herring	Kupiłem **śledź** na kolację.
karp	carp	W stawie pływa **karp**.
pstrąg	trout	Złowiłem **pstrąg** w rzece.
dorsz	cod	Na talerzu leży **dorsz**.
tuńczyk	tuna	W puszce jest **tuńczyk**.
szczupak	pike	W jeziorze pływa duży **szczupak**.
rekin	shark	W akwarium nie ma **rekin**.
delfin	dolphin	W zoo widziałem **delfin**.
wieloryb	whale	Na morzu zobaczyliśmy **wieloryb**.
krewetka	prawn	Na talerzu leży **krewetka**.
łuska	husk	Zboże ma suchą **łuska**.
płetwa	fin	Ryba ma dużą **płetwę**.
wędka	fishing rod	Tata ma nową **wędkę**.
sieć rybacka	fishing net	Rybak naprawia **sieć rybacką**.
mucha	fly	Na stole siedzi **mucha**.
komar	mosquito	Wieczorem gryzie mnie **komar**.
pszczoła	bee	Na kwiatku siedzi **pszczoła**.
osa	wasp	Na balkonie lata **osa**.
mrówka	ant	Na ścieżce idzie **mrówka**.
motyl	butterfly	W ogrodzie leci **motyl**.
biedronka	ladybird	Na liściu jest **biedronka**.
pająk	spider	W rogu siedzi **pająk**.
robak	worm	W jabłku jest **robak**.
chrząszcz	beetle	Na ziemi leży **chrząszcz**.
konik polny	grasshopper	W trawie skacze **konik polny**.
ważka	dragonfly	Nad wodą lata **ważka**.
ćma	moth	Przy lampie lata **ćma**.
gąsienica	caterpillar	Na liściu pełza **gąsienica**.
miód	honey	Lubię jeść **miód**.
żądło	sting	Osa ma ostre **żądło**.
roślina	plant	Ta **roślina** jest zielona.
liść	leaf	Na drzewie jest zielony **liść**.
korzeń	root	Ten **korzeń** jest gruby.
łodyga	stalk	Ta **łodyga** jest długa.
nasiono	kernel	W ziemi leży małe **nasiono**.
trawa	grass	Na łące rośnie **trawa**.
krzak	bush	Za **krzakiem** stoi pies.
mech	down	Na kamieniu rośnie **mech**.
grzyb	mushroom	Zebrałem jeden **grzyb**.
paproć	fern	W lesie rośnie **paproć**.
dąb	oak	Stoi stary **dąb**.
brzoza	birch	Ta **brzoza** jest wysoka.
sosna	pine	Na wzgórzu rośnie **sosna**.
świerk	spruce	W ogrodzie stoi **świerk**.
klon	maple	Pod oknem rośnie **klon**.
wierzba	willow	Nad rzeką rośnie **wierzba**.
buk	beech	W parku rośnie **buk**.
lipa	lime tree	Ta **lipa** daje cień.
jabłoń	apple tree	W sadzie kwitnie **jabłoń**.
gałąź	branch	Na ziemi leży **gałąź**.
kora	bark	**Kora** jest szorstka.
pień	trunk	**Pień** jest bardzo gruby.
róża	rose	Ta **róża** pachnie ładnie.
tulipan	tulip	Kupiłem czerwony **tulipan**.
stokrotka	daisy	Na łące rośnie **stokrotka**.
słonecznik	sunflower	W ogrodzie rośnie **słonecznik**.
mak	poppy	Na polu kwitnie **mak**.
fiołek	violet	W doniczce rośnie **fiołek**.
konwalia	lily of the valley	W lesie znalazłem **konwalię**.
bez	lilac	W ogrodzie pachnie **bez**.
narcyz	narcissus	Wiosną kwitnie **narcyz**.
goździk	carnation	Mama kupiła czerwony **goździk**.
płatek	petal	Na stole leży jeden **płatek**.
bukiet	bouquet	Dostałem ładny **bukiet**.
wazon	vase	Kwiaty stoją w **wazonie**.
szczyt	peak	Na **szczyt** weszliśmy rano.
dolina	valley	W **dolinie** płynie rzeka.
skała	scale	Ta **skała** jest bardzo twarda.
jaskinia	cave	Weszliśmy do ciemnej **jaskini**.
wspinaczka	climbing	Lubię **wspinaczkę** w górach.
szlak	trail	Idziemy czerwonym **szlakiem**.
schronisko	shelter	Nocujemy dziś w **schronisku**.
lawina	avalanche	Po burzy zeszła **lawina**.
przełęcz	pass	Droga prowadzi przez **przełęcz**.
zbocze	slope	Na stromym **zboczu** stoi dom.
plaża	beach	Na **plaży** leżą dzieci.
fala	wave	Duża **fala** uderzyła w brzeg.
piasek	sand	Dziecko bawi się w **piasku**.
muszla	seashell	Znalazłem **muszlę** nad morzem.
wyspa	island	Na **wyspie** rosną palmy.
port	port	Statek stoi w **porcie**.
statek	ship	**Statek** płynie po morzu.
łódź	boat	Mała **łódź** stoi przy brzegu.
żagiel	sail	Wiatr napełnił **żagiel**.
kotwica	anchor	Rzuciliśmy **kotwicę** do wody.
przypływ	inflow	W nocy był silny **przypływ**.
latarnia morska	lighthouse	Stoi tam stara **latarnia morska**.
burza	storm	Dziś była silna **burza**.
mgła	fog	Rano była gęsta **mgła**.
mróz	frost	Dziś rano był silny **mróz**.
upał	heat	Latem jest duży **upał**.
grad	hail	Wczoraj spadł **grad**.
tęcza	rainbow	Po deszczu widać **tęczę**.
błyskawica	lightning	Zobaczyłem **błyskawicę**.
grzmot	thunder	Usłyszałem głośny **grzmot**.
temperatura	temperature	Dzisiaj wysoka **temperatura**.
prognoza	forecast	Sprawdziłem **prognozę** pogody.
pochmurno	cloudy	Jutro będzie **pochmurno**.
słonecznie	sunny	Dzisiaj jest **słonecznie**.
wietrznie	windy	Nad morzem jest **wietrznie**.
wilgotny	humid	W piwnicy jest **wilgotny**.
suchy	dry	Ten ręcznik jest **suchy**.
mokry	wet	Moje buty są **mokre**.
umieć	to know how to	**Umie** czytać po polsku.
potrafić	to be capable of	**Potrafi** szybko biegać.
woleć	to prefer	**Wolę** herbatę niż kawę.
próbować	to try	**Próbuję** nowej zupy.
zostać	to stay, to become	Chcę **zostać** w domu.
stawać się	to become	On **staje się** spokojny.
wydawać się	to seem	To **wydaje się** proste.
wyglądać	to look like	Ona **wygląda** dziś ładnie.
przychodzić	to come	Mama **przychodzi** o szóstej.
wracać	to go back	Ja **wracam** do domu.
wychodzić	to go out	On **wychodzi** na spacer.
wchodzić	to come in	Dziecko **wchodzi** do pokoju.
przynosić	to bring	Tata **przynosi** mleko.
zabierać	to take away	Mama **zabiera** książkę.
kłaść	to lay	**Kładę** książkę na stole.
trzymać	to keep	Ja **trzymam** kubek.
rzucać	to throw	On **rzuca** piłkę.
ciągnąć	to pull	Chłopiec **ciągnie** wózek.
pchać	to push	Tata **pcha** wózek.
budować	to build	**Budujemy** nowy dom.
niszczyć	to destroy	Ogień **niszczy** dom.
naprawiać	to fix it	Mój brat **naprawia** rower.
zmieniać	to change	Ona **zmienia** buty.
sprawdzać	to check	Ja **sprawdzam** zadanie.
wybierać	to choose	Ona **wybiera** sok.
decydować	to decide	Dziecko **decyduje** samo.
zdążyć	to be on time	Muszę **zdążyć** na autobus.
marzyć	to dream of	Ja **marzę** o wakacjach.
śnić	to dream	Nocą **śnię** o morzu.
wierzyć	to believe	Ja **wierzę** w ciebie.
ufać	to trust	**Ufamy** pani nauczycielce.
wątpić	to doubt	Nie **wątpię** w ciebie.
zgadzać się	to agree	Nie **zgadzam się**.
odmawiać	to refuse	**Odmówił** kawy.
obiecywać	to promise	**Obiecuję** wrócić.
ostrzegać	to warn	**Ostrzegam** cię teraz.
radzić	to advise	**Radzę** odpocząć.
proponować	to propose	**Proponuję** herbatę.
wyjaśniać	to explain	**Wyjaśniam** to jasno.
opowiadać	to tell	**Opowiadam** bajkę dziecku.
pytać	to ask	**Pytam** o drogę.
odpowiadać	to answer	**Odpowiadam** tak.
krzyczeć	to scream	Dziecko **krzyczy** głośno.
szeptać	to whisper	**Szeptała** do mnie.
milczeć	to remain silent	**Milczymy** podczas lekcji.
powtarzać się	to repeat myself	**Powtarzam się** ciągle.
przestawać	to stop	Deszcz **przestaje** padać.
zostawiać	to leave	**Zostawiam** klucze na stole.
tracić	to lose	**Tracę** telefon.
zyskiwać	to gain	Firma **zyskuje** klientów.
dzielić	to share	**Dzielimy** ciasto na pół.
łączyć	to connect	To kabel **łączy** komputer.
oddzielać	to separate	Ściana **oddziela** pokoje.
mierzyć	to measure	**Mierzę** pokój.
ważyć	to weigh	Ta torba **waży** dużo.
liczba mnoga	plural	„Kot” ma **liczbę mnogą**.
koniec	end	To jest **koniec** filmu.
początek	beginning	Na **początku** jest cicho.
środek	middle	Siedzę w **środku** sali.
przód	front	Siedzę z **przodu**.
tył	back	Plecak leży z **tyłu**.
brzeg	edge	Siedzę przy **brzegu** rzeki.
siła	force	Ma dużo **siły**.
ruch	movement	Widzę **ruch** na ulicy.
szybkość	speed	Ta **szybkość** jest duża.
wysokość	height	Mierzę **wysokość** stołu.
szerokość	width	Ta **szerokość** jest mała.
głębokość	depth	Ta **głębokość** jest duża.
kształt	form	Ma dziwny **kształt**.
kolor	color	Mój **kolor** to niebieski.
dźwięk	sound	Lubię ten **dźwięk**.
zapach	smell	Jest ładny **zapach**.
smak	taste	Ten **smak** jest słodki.
widok	view	Z okna mam piękny **widok**.
obraz	picture	Ten **obraz** wisi na ścianie.
rysunek	drawing	Zrobiłem **rysunek** kota.
wzór	pattern	Lubię ten **wzór** na koszuli.
znak	sign	Widzisz ten **znak**?
symbol	symbol	Serce to **symbol** miłości.
numer	number	Mój **numer** to siedem.
adres	address	Podaj swój **adres** domowy.
kontynent	continent	Europa to mój ulubiony **kontynent**.
region	region	Ten **region** jest bardzo piękny.
teren	area	Dzieci bawią się na tym **terenie**.
przestrzeń	space	W tym pokoju jest dużo **przestrzeni**.
odcinek	episode	Wczoraj oglądałem nowy **odcinek** serialu.
warunek	condition	Dobry wynik to jeden **warunek**.
zasada	principle, rule	Ta **zasada** jest bardzo ważna.
prawda	truth	To jest **prawda**.
kłamstwo	lie	To było **kłamstwo**.
tajemnica	mystery	To wielka **tajemnica**.
opinia	opinion	Masz inną **opinię**.
uwaga krytyczna	critical note	Szef dał mi **uwagę krytyczną**.
pochwała	praise	Dostałem **pochwałę** za pracę.
nagroda	prize	Wygrałem **nagrodę** w konkursie.
prezent	gift	Dostałem **prezent** na urodziny.
niespodzianka	surprise	To była miła **niespodzianka**.
impreza	party	Wieczorem mamy **imprezę**.
zabawa	fun, party	Dzieci mają dziś **zabawę**.
żart	joke	To był tylko **żart**.
uśmiech	smile	Ma piękny **uśmiech**.
łza	tear	Na jej policzku była **łza**.
sen	dream, sleep	Miałem dziwny **sen**.
myśl	thought	Mam jedną **myśl**.
wyobraźnia	imagination	Dzieci mają dużą **wyobraźnię**.
uwaga skupiona	focused attention	Mam **uwagę skupioną** na lekcji.
talent	talent	Masz duży **talent** do śpiewu.
umiejętność	skill	To ważna **umiejętność** w pracy.
doświadczenie	experience	Mam małe **doświadczenie** w kuchni.
wysiłek	effort	Ten **wysiłek** był potrzebny.
odpoczynek	rest	Po pracy potrzebuję **odpoczynku**.
zmęczenie	tiredness	Czuję duże **zmęczenie** po biegu.
energia	energy	Rano mam więcej **energii**.
siła woli	willpower	Potrzebna jest **siła woli**.
charakter	character	Ma dobry **charakter**.
zachowanie	behavior	Jego **zachowanie** było grzeczne.
zwyczaj	custom	To nasz rodzinny **zwyczaj**.
tradycja	tradition	Ta **tradycja** jest stara.
kultura	culture	Lubię polską **kulturę**.
sztuka	piece	To piękna **sztuka**.
styl	style	Lubię ten **styl** ubrań.
moda	fashion	Ta **moda** wraca.
wygoda	convenience	Dla mnie to duża **wygoda**.
luksus	luxury	Nowy samochód to **luksus**.
jakość	quality	Ta herbata ma dobrą **jakość**.
ilość	quantity	Ta **ilość** cukru wystarczy.
wartość	value	Ten stary zegarek ma dużą **wartość**.
korzyść	advantage	Nauka angielskiego to wielka **korzyść**.
szkoda	pity	To **szkoda**, że nie przyjdziesz.
ryzyko	risk	Jazda bez kasku to **ryzyko**.
szansa	chance	Mam **szansę** wygrać.
sukces	success	To był duży **sukces**.
porada	advice	Dziękuję za dobrą **poradę**.
instrukcja	instruction	Przeczytaj **instrukcję** przed użyciem.
ostrożnie	carefully	Idź **ostrożnie** po schodach.
głośno	loudly	Mów **głośno**, proszę.
cicho	quiet	Mów **cicho** w bibliotece.
razem z	together with	Idę **razem z** mamą.
osobno	separately	Te rzeczy leżą **osobno**.
zwykle	usually	**Zwykle** piję herbatę.
nagle	suddenly	**Nagle** zaczęło padać.
powoli	slowly	Idź **powoli**.
natychmiast	immediately	Przyjdź **natychmiast**.
wkrótce	soon	Wracam **wkrótce**.
dawno	long time ago	**Dawno** tu nie byłem.
ostatnio	lately	**Ostatnio** dużo pracuję.
kiedyś	once	**Kiedyś** tam mieszkaliśmy.
zaraz	in a second	**Zaraz** wracam.
później	later	Spotkamy się **później**.
wcześniej	earlier	Przyszedłem **wcześniej**.
najpierw	firstly	**Najpierw** umyj ręce.
wreszcie	at last	**Wreszcie** jesteśmy w domu.
przynajmniej	at least	Daj mi **przynajmniej** jeden.
zwłaszcza	especially	Lubię owoce, **zwłaszcza** jabłka.
raczej	rather	Jestem **raczej** zmęczony.
niestety	unfortunately	**Niestety**, pada deszcz.
na szczęście	luckily	**Na szczęście** wróciłeś.
właśnie	exactly	To jest **właśnie** ten sklep.
chyba	i guess	**Chyba** idę do domu.
przecież	yet	Masz klucze, **przecież**.
niech	let	**Niech** ona zadzwoni.
aby	to	Uczę się, **aby** zdać.
żeby	so that	Pracuję, **żeby** kupić rower.
dopóki	until	Zostań **dopóki** nie wrócę.
zanim	before	Zjedz obiad **zanim** wyjdziesz.
odkąd	since	Mieszkam tu **odkąd** studiuję.
mimo	despite	**Mimo** deszczu idziemy.
według	according to	**Według** mnie to dobre.
wobec	towards, in view of	Jest miły **wobec** wszystkich.
oprócz	apart from	**Oprócz** mleka kup chleb.
zamiast	instead	**Zamiast** kawy piję herbatę.
dzięki	thanks	**Dzięki** tobie jestem spokojny.
wokół	around	Ludzie stoją **wokół** stołu.
wzdłuż	along	Idziemy **wzdłuż** rzeki.
wewnątrz	inside	Koty są **wewnątrz** domu.
na zewnątrz	outside	Dzieci bawią się **na zewnątrz**.
w górę	up	Patrzę **w górę**.
w dół	downwards	Schodzę **w dół**.
naprzód	forward	Pchaj wózek **naprzód**.
wstecz	backwards	Nie idź **wstecz**.
dokoła	all around	Dzieci biegały **dokoła** domu.
wszędzie	everywhere	Mam książki **wszędzie**.
nigdzie	nowhere	Dziś nie idę **nigdzie**.
gdzieś	somewhere	Schowałem klucze **gdzieś** tutaj.
ktoś	someone	**Ktoś** puka do drzwi.
nikt	nobody	W domu nie ma **nikt**.
coś	something	Chcę **coś** zjeść.
nic	nothing	Dziś nie robię **nic**.
wszyscy	everyone	Na lekcji mówią **wszyscy**.
przedsięwzięcie	undertaking, venture	To **przedsięwzięcie** kosztowało dużo.
przesłanka	premise	Ta **przesłanka** jest ważna.
sprzeczność	contradiction	Widzę tu **sprzeczność**.
rozbieżność	discrepancy	Jest **rozbieżność** w danych.
przeświadczenie	conviction	Mam **przeświadczenie**, że przyjdzie.
obojętność	indifference	Jego **obojętność** mnie boli.
zażyłość	intimacy	Między nimi jest duża **zażyłość**.
powściągliwość	restraint	W tej sprawie pokazuje **powściągliwość**.
wnikliwy	astute	To był **wnikliwy** komentarz.
skrupulatny	meticulous	Ona jest **skrupulatna** w pracy.
nieodzowny	indispensable	Sen jest **nieodzowny**.
zwięzły	concise	Napisz **zwięzły** opis.
wyrafinowany	refined	Ma **wyrafinowany** gust.
dosadny	blunt	Dał **dosadny** komentarz.
znikomy	insignificant	Ryzyko jest **znikome**.
doniosły	momentous	To był **doniosły** dzień.
nieodwracalny	irreversible	To była **nieodwracalna** decyzja.
kompleksowy	complex	Potrzebujemy **kompleksowego** planu.
zaawansowany	advanced	Ma już **zaawansowany** poziom angielskiego.
przeoczyć	to overlook	Mogłem **przeoczyć** ten błąd.
wdrożyć	to implement	Firma chce **wdrożyć** nowy system.
usprawnić	to streamline	Nowy program ma **usprawnić** pracę.
zaniechać	to give up	Musisz **zaniechać** tego nałogu.
podważyć	to challenge	To może **podważyć** jego zaufanie.
uwypuklić	to highlight	Ten przykład **uwypukla** problem.
nadużycie	abuse	To było **nadużycie** słowa.
roszczenie	claim	Składam **roszczenie** do firmy.
zobowiązanie	commitment	Mam **zobowiązanie** wobec klienta.
uchwała	resolution	Rada przyjęła **uchwałę** wczoraj.
rozporządzenie	ordinance	To **rozporządzenie** zmienia zasady.
orzeczenie	judgment	Sąd wydał **orzeczenie** dziś.
wykroczenie	misdemeanour	To było drobne **wykroczenie**.
zaniedbanie	neglect	To było **zaniedbanie** lekarza.
wiarygodność	credibility	Jego **wiarygodność** jest ważna.
rzetelność	reliability	Cenię jej **rzetelność** w pracy.
przejrzystość	clarity	Lubię **przejrzystość** w umowie.
przypuszczalnie	presumably	**Przypuszczalnie** jutro będzie padać.
bezsprzecznie	undoubtedly	To jest **bezsprzecznie** prawda.
wyłącznie	exclusively	To jest **wyłącznie** dla dzieci.
niemniej	nevertheless	Jest trudno, **niemniej** spróbuję.
zgoła	quite, entirely	To **zgoła** inna sprawa.
osobliwy	quaint	To był dość **osobliwy** dzień.
przewrotny	perverse	Jego **przewrotny** żart mnie zaskoczył.
uwarunkowanie	conditioning	To **uwarunkowanie** wpływa na decyzję.
domniemanie	presumption	To tylko **domniemanie**.
domena	domain	To jest moja **domena**.
przesłanie	message, moral	Film ma ważne **przesłanie**.
konotacja	connotation	To słowo ma złą **konotację**.
implikacja	implication	Ta decyzja ma jedną **implikację**.
korelacja	correlation	Widać **korelację** między danymi.
proporcja	proportion	Zachowaj dobrą **proporcję**.
dysproporcja	disproportion	Jest duża **dysproporcja** między nimi.
nierówność	inequality	Ta **nierówność** jest ogromna.
sprawiedliwość	justice	Wszyscy chcą **sprawiedliwości**.
niesprawiedliwość	injustice	To była wielka **niesprawiedliwość**.
praworządność	rule of law	Bronimy **praworządności** w kraju.
suwerenność	sovereignty	Kraj broni swojej **suwerenności**.
autonomia	autonomy	Szkoła ma dużą **autonomię**.
kompetencja	competence	To nie jest moja **kompetencja**.
uprawnienie	powers	Mam **uprawnienie** do głosu.
przywilej	privilege	To był dla niego **przywilej**.
ustępstwo	concession	Zrobiliśmy małe **ustępstwo**.
kompromis	compromise	Musimy znaleźć **kompromis**.
rozejm	truce	Obie strony zgodziły się na **rozejm**.
porozumienie	agreement	Dziś podpisaliśmy **porozumienie**.
sprzeciw	objection	Mój **sprzeciw** był wyraźny.
zastrzeżenie	reservation, proviso	Mam jedno **zastrzeżenie** do tej umowy.
poprawka	amendment	Ta **poprawka** jest ważna.
załącznik	attachment	Wysłałem plik w **załączniku**.
klauzula	clause	Ta **klauzula** chroni klienta.
przepis prawny	legal provision	Ten **przepis prawny** jest jasny.
wykładnia	interpretation	Ta **wykładnia** jest trudna.
precedens	precedent	To był ważny **precedens**.
odwołanie	appeal	Złożyłem **odwołanie** dziś.
egzekucja	execution	**Egzekucja** zaczęła się rano.
windykacja	vindication	Firma robi **windykację** długów.
niewypłacalność	insolvency	Jego firma ma **niewypłacalność**.
upadłość	bankruptcy	Sklep ogłosił **upadłość**.
restrukturyzacja	restructuring	Firma zaczęła **restrukturyzację**.
konsolidacja	consolidation	Ta **konsolidacja** zajmie czas.
dywersyfikacja	diversification	**Dywersyfikacja** zmniejsza ryzyko.
rentowność	profitability	Ta **rentowność** jest wysoka.
płynność	liquidity	Firma ma dobrą **płynność**.
amortyzacja	depreciation	**Amortyzacja** samochodu trwa.
prognoza finansowa	financial forecast	Ta **prognoza finansowa** jest dobra.
wskaźnik	indicator	Ten **wskaźnik** rośnie.
miernik	gauge	To dobry **miernik** sukcesu.
odchylenie	deviation	To **odchylenie** jest małe.
tolerancja błędu	error tolerance	Mamy małą **tolerancję błędu**.
przybliżenie	approximation	To tylko **przybliżenie** wyniku.
uściślenie	clarification	Potrzebuję małego **uściślenia**.
sprostowanie	rectification	Gazeta opublikowała **sprostowanie** błędu.
uzupełnienie	supplement	To **uzupełnienie** jest bardzo potrzebne.
przypis	footnote	Sprawdź **przypis** na dole strony.
bibliografia	bibliography	Moja **bibliografia** jest już gotowa.
cytat	quote	Ten **cytat** jest bardzo znany.
parafraza	paraphrase	Twoja **parafraza** jest bardzo dobra.
plagiat	plagiarism	To brzmi jak **plagiat**.
recenzja naukowa	scientific review	Napisał **recenzję naukową** książki.
rozprawa naukowa	treatise	Ta **rozprawa naukowa** jest długa.
konspekt	synopsis	Mój **konspekt** leży na stole.
teza	thesis, claim	Twoja **teza** jest ciekawa.
antyteza	antithesis	To jest **antyteza** jego opinii.
paradoks	paradox	To jest dziwny **paradoks**.
metafora	metaphor	W tym zdaniu jest **metafora**.
alegoria	allegory	Ta bajka to **alegoria**.
ironia	irony	W jego głosie była **ironia**.
sarkazm	sarcasm	Jej **sarkazm** był bardzo ostry.
aluzja	allusion	To była jasna **aluzja**.
insynuacja	innuendo	To była zła **insynuacja**.
oszczerstwo	slander	To było zwykłe **oszczerstwo**.
zniesławienie	defamation	To słowo oznacza **zniesławienie**.
sprostowanie prasowe	press correction	Gazeta wydała **sprostowanie prasowe**.
wiarygodne źródło	reliable source	To jest **wiarygodne źródło** informacji.
dezinformacja	disinformation	W internecie krąży **dezinformacja**.
propaganda	propaganda	To jest tylko **propaganda**.
manipulacja	manipulation	To była **manipulacja** jego słowami.
perswazja	persuasion	Twoja **perswazja** zadziałała na mnie.
retoryka	rhetoric	Na lekcji omawiamy **retorykę**.
elokwencja	eloquence	Jego **elokwencja** wszystkich zachwyciła.
erudycja	erudition	Jej **erudycja** imponuje kolegom.
dociekliwość	inquisitiveness	Jego **dociekliwość** pomaga w pracy.
przenikliwość	penetration	Twoja **przenikliwość** szybko to zauważyła.
rozwaga	consideration	Ważna jest **rozwaga** przed decyzją.
roztropność	prudence	**Roztropność** chroni przed błędem.
przezorność	forethought	**Przezorność** każe mi oszczędzać.
zapobiegliwość	providence	Jej **zapobiegliwość** pomaga rodzinie.
determinacja	determination	Jego **determinacja** budzi podziw.
konsekwencja w działaniu	consistency in action	**Konsekwencja w działaniu** daje efekty.
wytrwałość	persistence	**Wytrwałość** przynosi sukces.
zawziętość	bitterness	Jego **zawziętość** szkodzi rozmowie.
zuchwałość	audacity	To była **zuchwałość** z twojej strony.
bezczelność	insolence	Twoja **bezczelność** mnie zaskoczyła.
arogancja	arrogance	Jego **arogancja** wszystkim przeszkadza.
pycha	hubris	**Pycha** często prowadzi do błędu.
próżność	vanity	Jej **próżność** widać w lustrze.
pokora	humility	**Pokora** jest wielką cnotą.
skromność	modesty	Jego **skromność** jest ujmująca.
wyrozumiałość	indulgence	Dziękuję za twoją **wyrozumiałość**.
pobłażliwość	leniency	Jego **pobłażliwość** mnie dziwi.
surowość	severity	**Surowość** nauczyciela była duża.
bezstronność	impartiality	Sędzia zachował **bezstronność**.
stronniczość	bias	Widać jego **stronniczość**.
uprzedzenie	prejudice	To **uprzedzenie** jest niesprawiedliwe.
tolerancja	tolerance	Potrzebna jest **tolerancja**.
nietolerancja	intolerance	Jego **nietolerancja** mnie smuci.
obłuda	hypocrisy	Nie lubię tej **obłudy**.
szczerość	sincerity	Cenię twoją **szczerość**.
zawiść	envy	Poczuł **zawiść** do kolegi.
wyrzuty sumienia	remorse	Miał **wyrzuty sumienia** po kłamstwie.
ukojenie	solace	Muzyka dała mi **ukojenie**.
udręka	torment	To była prawdziwa **udręka**.
przygnębienie	depression	Jego **przygnębienie** było widoczne.
euforia	euphoria	Po zwycięstwie czuł **euforię**.
niepokój	unease	Mam dziś dziwny **niepokój**.
lęk	bow	Miał **lęk** przed występem.
przerażenie	terror	W jej oczach było **przerażenie**.
